Nome Esercizio,Variante,URL YouTube,F/A,Movement Pattern,Bicipiti,Core,Deltoidi Anteriori,Deltoidi Posteriori,Deltoidi Laterali,Femorali,Glutei,Pettorali,Polpacci,Quadricipiti,Trapezi,Tricipiti,Erettori,Adduttori,
Panca Board,"fermo 1""; fermo 3""; fermo 5""; discesa 3""; discesa 5""; 3""/3""; 5""/5""; salita 3""; spoto pres; overaloding; deloading; caos 30%; full caos; pin; board 4cm; board alta; catene",,F,Spinta orizzontale,,,0.3,,,,,1,,,0.5,,,,
Panca Manubri,"fermo 1"" in max stretch; discesa 3""; 3""/3""; focus respiro e rotazione omero; fermo 3"" in max stretch; ",https://www.youtube.com/watch?v=861u9F71m4g&list=PL2OC9xrmbse-YqQ6nxQ1meEaE7YIk6uZD&index=51,A,Spinta orizzontale,,,0.3,,,,,1,,,0.5,,,,
Croci Manubri,"fermo 1"" in max stretch; discesa 3""; 3""/3""; focus respiro e rotazione omero; fermo 3"" in max stretch; ",https://www.youtube.com/watch?v=TGsfbMxIyn8&list=PL2OC9xrmbse-YqQ6nxQ1meEaE7YIk6uZD&index=21,A,Spinta orizzontale,,,0.2,,,,,1,,,,,,,
Croci Manubri deadstop,"fermo 1"" in max stretch; discesa 3""; 3""/3""; focus respiro e rotazione omero; fermo 3"" in max stretch; ",https://www.youtube.com/watch?v=OEKU-W6S2-A&list=PL2OC9xrmbse-YqQ6nxQ1meEaE7YIk6uZD&index=18,A,Spinta orizzontale,,,0.2,,,,,1,,,,,,,
Panca inclinata Bilanciere,"fermo 1"" in max stretch; discesa 3""; 3""/3""; focus respiro e rotazione omero; fermo 3"" in max stretch; ",,A,Spinta orizzontale,,,0.5,,,,,1,,,0.5,,,,
Chest Press,"fermo 1"" in max stretch; discesa 3""; 3""/3""; focus respiro e rotazione omero; fermo 3"" in max stretch; ",https://www.youtube.com/watch?v=M_zp4kTbWtY&list=PL2OC9xrmbse-YqQ6nxQ1meEaE7YIk6uZD&index=41,A,Spinta orizzontale,,,0.3,,,,,1,,,0.5,,,,
Panca Inclinata Manubri 45°,"fermo 1"" in max stretch; discesa 3""; 3""/3""; focus respiro e rotazione omero; fermo 3"" in max stretch; ",,A,Spinta orizzontale,,,0.5,,,,,1,,,0.5,,,,
Panca Inclinata Manubri 30°,"fermo 1"" in max stretch; discesa 3""; 3""/3""; focus respiro e rotazione omero; fermo 3"" in max stretch; ",,A,Spinta orizzontale,,,0.5,,,,,1,,,0.5,,,,
Croci Manubri 45°,"fermo 1"" in max stretch; discesa 3""; 3""/3""; focus respiro e rotazione omero; fermo 3"" in max stretch; ",,A,Spinta orizzontale,,,,,,,,1,,,,,,,
Croci Manubri 30°,"fermo 1"" in max stretch; discesa 3""; 3""/3""; focus respiro e rotazione omero; fermo 3"" in max stretch; ",https://www.youtube.com/watch?v=Aq5EwC31mck&list=PL2OC9xrmbse-YqQ6nxQ1meEaE7YIk6uZD&index=19,A,Spinta orizzontale,,,,,,,,1,,,,,,,
Croci al cavo dall'alto,"fermo 1"" in max stretch; discesa 3""; 3""/3""; focus respiro e rotazione omero; fermo 3"" in max stretch; ",,A,Spinta orizzontale,,,,,,,,1,,,,,,,
